c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
160528,Customer#000160528,933996.5559,3425.52,INDONESIA,6 2h0BtgTVFrbGbg7a7ThCOLvfvb2a8FOm2qs,19-670-600-6340,"sly regular theodolites. bold, regular foxes cajole."
184957,Customer#000184957,830954.1024,3091.04,KENYA,"H,pPS2GzmztvTMT B9F",24-963-284-6243,"requests affix about the even, even accounts. blithely pending pack"
1039810,Customer#001039810,821909.9942,6508.78,BRAZIL,T8gKw0F9Soqi,12-556-660-3149," packages. even, ironic accounts hang carefully pending requests. carefully"
1167046,Customer#001167046,749857.0360,4320.56,GERMANY,DFONrOwWtWv ,17-970-823-4098,after the regular accounts-- furiously express instructions
69847,Customer#000069847,745747.6327,6926.01,UNITED STATES,ARyrVQvDtnQ0WQBHFlsqMWWY7Vda6qBH8A77TNeE,34-727-370-7668,structions. fluffily ironic excuses integ
891002,Customer#000891002,744658.2473,7823.81,IRAQ, kFKx TViGubrAQCqu4S,21-539-571-1029,ously. regular deposits haggle furiously. furiously re
1010062,Customer#001010062,736174.3330,6333.82,UNITED KINGDOM,"uq,6gKmXRrc3",33-734-819-6160,thely pending tithes. pending deposits detect carefully furiously regular ide
309007,Customer#000309007,718603.7992,4356.63,ALGERIA,"d8njMuHDujYuPgi24E6,pCx",10-309-371-5026,ccounts wake blithely. quickly blithe requests are furi
871393,Customer#000871393,714037.5980,-53.34,UNITED KINGDOM,dIxMhNeyaArQmzMx  1XFaKF0Gpl8n4k5HdWWj,33-212-492-5391,ly regular packages cajole quickly 
1273453,Customer#001273453,710325.0883,5777.05,INDIA,i9yuMTPLo96JbZ5kKMSc01XBbeTBqul,18-941-256-4415," carefully regular escapades. bold, ironic instructions cajole carefully. ironically even deposits cajo"
1369336,Customer#001369336,708865.6280,8817.95,ALGERIA,"X ES,j8z7KYinqCrrKrX9",10-200-947-7694,nts. quickly brave deposits are blithely! fluffily final packages sleep. regular somas boost a
508582,Customer#000508582,708195.0298,4773.15,UNITED KINGDOM,xgRK167ChXJIQ,33-259-465-6091," instructions haggle against the carefully final platelets. express, express packag"
399136,Customer#000399136,707385.9001,4289.49,BRAZIL,APgE8HGr0cR,12-968-480-7571,alongside of the furiously close cour
1461247,Customer#001461247,697982.9874,3205.93,SAUDI ARABIA,jQZKjwNqttmC0BohJoGA4U,30-137-949-5375,atterns sleep blithely. fluffily pending accounts sleep furiously from the ironic deposits! blithely even i
990658,Customer#000990658,692718.8193,8373.07,MOROCCO,MYy4e8A6Vb1IYl75FPZoIOiRpSs4,25-339-846-3347,"ual, silent dependencies. requests integrate. blithely bold accounts are furiously"
687049,Customer#000687049,691450.2387,1870.66,UNITED STATES,wZ ieeslHLQYyNa9XoXvrqmUGVWMHxcZEIRZF7,34-345-882-6302,s haggle furiously furiously fin
619117,Customer#000619117,690584.1123,7052.09,MOROCCO,"RgRK9CA,iPt9GTCdIZak1nfp",25-201-183-7973,"deposits. regular, regular packages after t"
1475311,Customer#001475311,689590.6448,4103.67,VIETNAM,"adq5s7LM gZsf5FQL,s6XPGHDt5oEJ5v,",31-909-570-6234,"uffily unusual, even accounts. special deposits eat slyly. bli"
828142,Customer#000828142,688638.9048,6295.74,INDONESIA,7fuAZ4MfCyalstLWhQV3puMYeE,19-602-199-2263, to the carefully special deposits. bold realms sleep
1093882,Customer#001093882,684929.2382,8701.40,MOZAMBIQUE,96JVlRbbvK2LiNz,26-661-513-6920,accounts engage carefully above the 
