c_custkey,c_name,revenue,c_acctbal,n_name,c_address,c_phone,c_comment
1116802,Customer#001116802,872561.8290,772.17,JORDAN,JpGQT3IHoogqB3ZMrSrzhBrVFObr,23-199-655-3770,ests. quickly ironic deposits along the special requests a
1487503,Customer#001487503,853788.0667,5398.11,IRAN,"orychjo, O6c",20-271-234-4401,ccounts sleep carefully. furiously pending packages boost slyly after the quickly regular requests. pinto beans fro
160528,Customer#000160528,783075.9841,3425.52,INDONESIA,6 2h0BtgTVFrbGbg7a7ThCOLvfvb2a8FOm2qs,19-670-600-6340,"sly regular theodolites. bold, regular foxes cajole."
1472980,Customer#001472980,770754.0412,6003.36,IRAQ,iie M4kwzvAwMV Hpvv,21-506-776-4657,s use slyly thinly final deposits. ironic pinto beans poach furiously bl
429350,Customer#000429350,741723.2366,5224.16,CHINA,40FTZSkPtgIieo6VIdh3LtgEtMxOyYQ5D,28-540-805-2532,"c sheaves. ironic, unusual re"
1237537,Customer#001237537,728852.9428,7840.17,RUSSIA,"FNG6WgB1mopyyY,ajQTU qUPW5o",32-367-120-4327,nag carefully about the regular packages. carefully reg
1222042,Customer#001222042,703753.1806,-343.69,EGYPT,"5L4,mCpFTdFBC6rBglaCdTSk",14-465-703-5435,ironic theodolites besides the special requests impre
619117,Customer#000619117,698748.7674,7052.09,MOROCCO,"RgRK9CA,iPt9GTCdIZak1nfp",25-201-183-7973,"deposits. regular, regular packages after t"
1160881,Customer#001160881,695106.3249,3462.18,RUSSIA,ACbaUek4MwaAm QpcQAtEN7PUjw3FBBElZIThrC,32-316-891-6777,"odolites cajole regular sentiments-- ironic foxes nag express, regular deposits. furiously bold foxes in"
1461247,Customer#001461247,693501.3124,3205.93,SAUDI ARABIA,jQZKjwNqttmC0BohJoGA4U,30-137-949-5375,atterns sleep blithely. fluffily pending accounts sleep furiously from the ironic deposits! blithely even i
508954,Customer#000508954,683072.2878,3072.07,ETHIOPIA,zgafElAXecB3I7Ee1a9B,15-880-510-9487,ickly regular deposits. carefully regular instructions engage deposits. foxes are caref
1316338,Customer#001316338,677578.5211,8682.95,INDIA,bfz3FH  qaULsV7oiCn66z6ezkZBpcl,18-793-610-3832,"equests. regular, even excuses doze slyly against the blithely even accounts. slyly regular dinos "
1478518,Customer#001478518,670153.4205,2257.41,CHINA,"Z3t,SnZXDTDSp atTq5u62umxNRRD",28-106-749-1058,"regular pinto beans x-ray quickly final theodolites. even, regular excuses solve carefully fluffily "
1335394,Customer#001335394,659312.3540,3978.53,VIETNAM,mdNmISybrVNaIPSp,31-760-271-2302, slyly even instructions. carefully silent ideas
884425,Customer#000884425,659135.5040,2306.98,ALGERIA,4qVysI7hokXwXSLfaGPOScaNdwoQkK,10-469-774-4780,"enticing, pending dependencies. blithely final pinto beans poach ironic, express pinto beans. regular, eve"
50017,Customer#000050017,659081.9790,9112.01,PERU,"m8,rZV2BvCMn20qVRIJ,w",27-110-326-6920,. furiously final platelets nag. slyly ironic excuses nod blithely bold dependencies. furiously ironic pack
1136716,Customer#001136716,659054.8166,5886.01,CHINA,uAIqfk27UKRIIBZLUvKDfUOyh,28-729-762-5783,"e foxes. bold orbits impress slyly about the regular, regular theodolites; carefully exp"
912505,Customer#000912505,652191.1508,8421.78,KENYA,"lLEl0cog8R4z,4NTigcYoFcbtTU8FCc",24-564-495-8743,gular platelets grow. carefully blithe depths bes
1092508,Customer#001092508,642373.2607,4175.60,ETHIOPIA,"t5za,Z0I3GxGmypdoXMcRkRBf",15-639-770-5718,iously even escapades affix. quickly special packages haggle carefully ironic pinto beans. fluffily even ideas are 
1113880,Customer#001113880,639290.9589,3296.54,EGYPT,5teSNOIOP4HNYT7qa6G0DHivQxz2CH24Vf0sBR,14-891-672-2280,"s integrate alongside of the bold, pending accounts. slyly reg"
